Engagements,Followers at Posting,Type,Description,Month,Weekday,Seconds
753875,35707892,Video,@kingjames dumps it off to @javalemcgee for the @lakers SLAM!,March,Saturday,14161
897674,35707892,Video,?? @kingjames down the lane for the @lakers!,March,Saturday,12010
671728,35707892,Video,@karltowns hustles back for the big denial in the 4th!,March,Saturday,10331
612759,35707892,Video,@nerlensnoel3 protects the paint for the @okcthunder!,March,Saturday,7492
612759,35707892,Video,@jabariparker attacks the rim for the @washwizards!,March,Saturday,6829
817885,35707892,Video,@kyrieirving drives and wins it for the @celtics!,March,Saturday,6321
515858,35692163,Video,"@44bojan finds @wessywes23 on the backdoor cut for the @pacers! #NBABreakdown
...
??: PACERS/CELTICS
?: 7:00pm/et
??: @nbatv",March,Friday,75573
271090,35692163,Album,?? the STAT LEADERS among #NBARooks! ??,March,Friday,65475
393487,35692163,Photo,,March,Friday,30609
827433,35692163,Video,Who did we just pick? ????#GraciasManu,March,Friday,18079
396646,35692163,Album,"I gave everything I had, every game. #GraciasManu!",March,Friday,16986
694886,35692163,Video,"Without @manuginobili, there were no championships - Coach Pop. #GraciasManu",March,Friday,15027
408714,35692163,Album,Swipe through to recap an 8-game Thursday around the Association!,March,Friday,11909
563537,35692163,Video,@dwyanewade and @swish41 on the great @manuginobili! #GraciasManu,March,Friday,9298
337564,35692163,Photo,@the_1_dragon notches his first triple-double of the season for the @miamiheat with 23p/12r/11a! #TripleDoubleAlert,March,Friday,7510
617769,35692163,Video,@dwyanewade seals the @miamiheat W with the BLOCK & BUCKET! #OneLastDance,March,Friday,7121
671740,35692163,Video,@the_1_dragon wanted that ball!,March,Friday,6231
672200,35692163,Video,@jharden13 off the dribble to @ccapela15!,March,Friday,4163
671740,35692163,Video,@pr00fessortrill THROWS IT DOWN!,March,Friday,4127
612771,35692163,Video,@giannis_an34 recovers the swat to set up @k_mid22!,March,Friday,2587
337564,35692163,Photo,Congrats to @jharden13 of the @houstonrockets for moving up to 9th on the all-time 3PM list!,March,Friday,1422
671740,35692163,Video,How @jmglitxh27??,March,Friday,1333
337564,35692163,Photo,@the_1_dragon x @lukadoncic,March,Friday,1285
339026,35670435,Photo,@dbook goes back-to-back to become the second player this season with multiple 50-point games!,March,Thursday,55668
310580,35670435,Photo,"?The NBA Paris Game 2020 Presented by beIN SPORTS to feature the @hornets and @bucks on January 24, 2020. ?#NBAParis",March,Thursday,45480
338041,35670435,Photo,?? the current #NBAPlayoffs picture!,March,Thursday,29985
345174,35670435,Photo,Congrats to @mac11... the new @memgrizz franchise-leader in scoring!,March,Thursday,24648
379813,35670435,Photo,50 for @dbook... in back-to-back games!,March,Thursday,18200
379813,35670435,Photo,Congrats to @rajonrondo for moving up to 19th on the all-time ASSISTS list!,March,Thursday,17077
689277,35670435,Video,The dunk or the assist... by @acfresh21!,March,Thursday,16990
628768,35670435,Video,@nolimittb wins it for the @washwizards in the paint!,March,Thursday,16225
345174,35670435,Photo,@russwest44 notched his 29th triple-double of the season for the @okcthunder with 17p/12a/11r! #TripleDoubleAlert,March,Thursday,15842
799886,35670435,Video,?? (??: ESPN),March,Thursday,13372
617780,35670435,Video,@dbook with 30 first-half points for the @suns at home! #LeaguePassAlert,March,Thursday,11954
671752,35670435,Video,@unclejeffgreen with the STRONG finish in Phoenix!,March,Thursday,10865
729667,35670435,Video,The @okcthunder go on 24-0 run in the 3rd! (??: ESPN),March,Thursday,6829
612782,35670435,Video,@money23green tosses it ahead to @easymoneysniper to beat the buzzer!,March,Thursday,5541
671752,35670435,Video,@justholla7 pulls up from deep to beat the buzzer!,March,Thursday,2672
511703,35644060,Video,"Get pumped for tonights @utahjazz action (10:30pm/at ESPN) with @rudygobert27s best rim-rocking slams! ...
??: Triumphant by @lrmuzician | @unitedmasters",March,Wednesday,76127
625885,35644060,Video,"?? @russwest44s best finishes!
...
??: PACERS/THUNDER
?: 8:00pm/et
??: @nbaontnt",March,Wednesday,59998
314854,35644060,Photo,"My name, my family name up here, thats something I used to get laughed at for dreaming of... So never let anyone tell you that you cant accomplish your dream. Those four letters on the back of that jersey are my wifes name, my kids name, my fathers name, my grandfathers name. Were not just carrying on for another generation. But now, Daddy Jack, were up there forever. - @chrisbosh. #ThankYouChr1s",March,Wednesday,41204
385039,35644060,Album,20 teams in action... 10 winners on a busy Tuesday night!,March,Wednesday,20515
682989,35644060,Video,The @lakers share the ball! (??: @nbaontnt),March,Wednesday,15283
665625,35644060,Video,@stephensonlance dances on the perimeter! (??: @nbaontnt),March,Wednesday,12765
329227,35644060,Photo,@lukadoncic records his second consecutive triple-double (7th of season) for the @dallasmavs with 28/12/12. #TripleDoubleAlert,March,Wednesday,10879
612793,35644060,Video,@lukadoncic with the stepback assist to @dwightpowell!,March,Wednesday,9975
671765,35644060,Video,The @nuggets close the first half in style!,March,Wednesday,9578
607192,35644060,Video,@thebledshow with the big @bucks swat! (??: @nbaontnt),March,Wednesday,7675
612793,35644060,Video,@_kw15 puts up 11 in OT to lead the @hornets!,March,Wednesday,7025
665625,35644060,Video,@ccapela15 crushes home the SLAM! (??: @nbaontnt),March,Wednesday,6866
362265,35644060,Album,#ThankYouChr1s x @miamiheat!,March,Wednesday,6828
671054,35644060,Video,???? @dwyanewade @chrisbosh ???? #ThankYouChr1s,March,Wednesday,6284
665625,35644060,Video,@cp3 frees himself with the dribble! (??: @nbaontnt),March,Wednesday,4371
398619,35644060,Photo,13 x 34!,March,Wednesday,4290
736411,35644060,Video,Kemba goes in & out to the rim!,March,Wednesday,4268
612793,35644060,Video,@therea1djones climbs the ladder... and gets @chrisbosh out of his seat!,March,Wednesday,1842
736425,35622137,Video,DOMINATION!!,March,Wednesday,314
612804,35622137,Video,@jrich_0 cuts for the @miamiheat SLAM!,March,Wednesday,265
329179,35622137,Photo,@chrisbosh courtside ahead of his @miamiheat jersey retirement! #ThankYouChr1s,March,Tuesday,86349
905061,35622137,Video,CB Forever! @kingjames to ???? championship teammate @chrisbosh! #ThankYouChr1s,March,Tuesday,83407
619955,35622137,Video,"The @washwizards rotate on the defensive end for the stop! #NBABreakdown ...
??: Wizards/Lakers
?: 10:30pm/et
??: @nbaontnt",March,Tuesday,82307
260591,35622137,Photo,"??@JHarden13 joined Wilt Chamberlain, Michael Jordan & Kobe Bryant as the only players in @NBAHistory to record multiple games of 60+ PTS in a single season! 
What will he do tonight (8pm/et @nbaontnt) vs. MIL?",March,Tuesday,76691
314258,35622137,Photo,@dbook joins this seasons 50-point club!,March,Tuesday,62763
692459,35622137,Video,"NBA Experience, the brand-new destination coming to Disney Springs at Walt Disney World Resort, officially opens Aug. 12, 2019!",March,Tuesday,58171
225551,35622137,Photo,The @NBAGLeague Playoffs tip off TONIGHT (8 pm/et) on ESPNU & Twitch with two win-or-go-home first-round games (@GRDrive-@Raptors905 & @SLCStars-@OKCBlue)! Who will make the ultimate case for the next level? #GLeaguePlayoffs,March,Tuesday,54104
278043,35622137,Album,"The @trailblazers, @utahjazz, @orlandomagic and @memgrizz are each victorious on Monday!",March,Tuesday,19361
325812,35622137,Album,@dbook puts up a season-high 59 points for the @suns on 19/34 shooting ??,March,Tuesday,14013
612804,35622137,Video,@dloading with the fake and finish for the @brooklynnets!,March,Tuesday,13153
677256,35622137,Video,@dbook fades for his 47th point through 3 quarters in Utah! #LeaguePassAlert,March,Tuesday,10697
612804,35622137,Video,@ygtrece finishes the impressive @okcthunder break!,March,Tuesday,5219
736425,35622137,Video,Old School or New School??,March,Tuesday,4474
299630,35601669,Photo,"?? a career season for @dloading of the @brooklynnets! ...
??: NETS/BLAZERS
?: 10:00pm/et
??: @nbatv",March,Monday,82317
511721,35601669,Video,"Ahead of tonights @orlandomagic action (7:00pm/et @nbatv), we showcase @youngheirgordons BEST SLAMS! ...
??: Run It by Good Hearts Win | @unitedmasters",March,Monday,76153
614214,35601669,Video,@stephensonlance or @stephencurry30... who had your favorite ASSIST of the Week? #StateFarmAssists,March,Monday,68974
342212,35601669,Album,?? the NBA STAT LEADERS ahead of Week 24s action!,March,Monday,57630
239578,35601669,Album,?? all the angles of @jeremylamb1s wild #TissotBuzzerBeater for the @hornets win! #ThisIsYourTime,March,Monday,47333
296196,35601669,Photo,Join us in wishing @kyle_lowry7 of the @raptors a HAPPY 33rd BIRTHDAY! #NBABDAY,March,Monday,44575
401772,35601669,Album,"16 teams in action, eight winners Sunday night!",March,Monday,16940
884949,35601669,Video,@acfresh21 gets fancy off the @kingjames dime!,March,Monday,13989
438577,35601669,Photo,@kingjames secures his 8th triple-double of the season for the @lakers with 23p/11a/10r! #TripleDoubleAlert,March,Monday,13859
749970,35601669,Video,@andrewbogut takes it coast-to-coast for the @warriors!,March,Monday,8318
438577,35601669,Photo,Congrats to @kingjames of the @lakers for moving up to 19th on the all-time 3PM list!,March,Monday,8267
719298,35601669,Video,A little Showtime by the @lakers!,March,Monday,8222
970112,35601669,Video,@kingjames hangs for the and-one!,March,Monday,7012
706111,35601669,Video,@stephencurry30 flings it and @andrewbogut guides it in!,March,Monday,6962
724398,35601669,Video,?? @jeremylamb1s @hornets #TissotBuzzerBeater from the baseline! #ThisIsYourTime,March,Monday,3521
719804,35581392,Video,@jharden13 smoothly dimes it to @austinjrivers in New Orleans!,March,Sunday,86272
656165,35581392,Video,@dougmcd03 soars for the @pacers SLAM!,March,Sunday,84138
324148,35581392,Album,@olskool888s @bucks #8 goes to the rafters in Milwaukee! #MilwaukeeGr8,March,Sunday,81285
664526,35581392,Video,@giannis_an34 muscles his way in for the SLAM!,March,Sunday,77098
331503,35581392,Photo,@jcollins20_ shows off his @expressmen style following the home W! #NBAGamechangers,March,Sunday,25538
401376,35581392,Album,16 teams hit the floor Saturday night!,March,Sunday,19537
673283,35581392,Video,@swipathefox shows out for the @sacramentokings!,March,Sunday,16239
878861,35581392,Video,??DAME TIME! ??,March,Sunday,16127
673283,35581392,Video,@thonmaker hustles back for the @detroitpistons!,March,Sunday,14743
719311,35581392,Video,@blakegriffin23 goes up and under in Portland!,March,Sunday,13434
349124,35581392,Photo,@lukadoncic records his sixth triple-double of the season for the @dallasmavs with 23p/11r/10a! #TripleDoubleAlert,March,Sunday,11126
719311,35581392,Video,"@lukadoncic tosses it in, plus the foul!",March,Sunday,9821
712737,35581392,Video,?? @traeyoung wins it for the @atlhawks ??,March,Sunday,7759
719311,35581392,Video,@boogiecousins goes in & out to the rim!,March,Sunday,5825
650168,35581392,Video,@traeyoung tosses & @jcollins20_ finishes! (??: @nbatv),March,Sunday,4559
719311,35581392,Video,@dwyanewade with the blow-by!,March,Sunday,2942
656165,35581392,Video,@_kw15 scores 18 in the 4th to spark @hornets 30-5 run for the win!,March,Sunday,2781
712750,35561416,Video,@boban for there!! (??: @nbatv),March,Sunday,410
719324,35561416,Video,@milesbridges on both ends!,March,Saturday,85283
886997,35561416,Video,@kyrieirving in transition!,March,Saturday,81786
728489,35561416,Video,You dont wanna play HORSE with Vince Carter!,March,Saturday,81078
658464,35561416,Video,"Ever notice @traeyoung jumps with his dunkers! ...
??: SIXERS/HAWKS
?: 7:30pm/et
??: @nbatv",March,Saturday,77156
369643,35561416,Album,?? the NBA Standings ahead of tonights action! ??,March,Saturday,70335
333256,35561416,Photo,"Were running out of space, @jharden13!",March,Saturday,65326
376087,35561416,Photo,Join us in wishing @kyrieirving of the @celtics a HAPPY 27th BIRTHDAY! #NBABDAY,March,Saturday,60221
395706,35561416,Photo,Join us in wishing @gordonhayward of the @celtics a HAPPY 29th BIRTHDAY! #NBABDAY,March,Saturday,43239
432245,35561416,Album,14 teams in action... seven winners Friday night!,March,Saturday,19718
995456,35561416,Video,@kingjames hustles back for the chasedown!!,March,Saturday,15918
826529,35561416,Video,"@kingjames tosses, @javalemcgee finishes!",March,Saturday,11762
671813,35561416,Video,@kuz beats the buzzer from the logo!,March,Saturday,11306
384426,35561416,Photo,61... for the second time this season!,March,Saturday,10650
672274,35561416,Video,@jharden13 scores 10 straight to close out the @houstonrockets W & tie career-high 61!,March,Saturday,8458
317504,35561416,Photo,Congrats to @jharden13 of the @houstonrockets for moving up to 10th on the all-time 3PM list!,March,Saturday,7918
671813,35561416,Video,@23.savage23 with the SWAT & SLAM!,March,Saturday,5760
612837,35561416,Video,@evanfournier10 with the clutch bucket for the @orlandomagic!,March,Saturday,5314
677757,35561416,Video,@jharden13 puts up 27 in the first for the @houstonrockets! #LeaguePassAlert,March,Saturday,2789
336165,35541838,Album,?? #NBARooks STAT LEADERS! ??,March,Friday,60814
258322,35541838,Album,The @hornets @nuggets @atlhawks @sacramentokings @detroitpistons & @warriors were each victorious Thursday!,March,Friday,19184
671825,35541838,Video,@swipathefox can ball!,March,Friday,13063
671825,35541838,Video,@dbook off one foot!,March,Friday,11812
671825,35541838,Video,@easymoneysniper times the block perfectly!,March,Friday,11079
671825,35541838,Video,@nicbatum88 turns the corner and punches it home!,March,Friday,4725
729747,35541838,Video,?? @milesbridges is cleared for lift-off! ??,March,Friday,566
671825,35541838,Video,@traeyoung with the trickery on the baseline!,March,Friday,526
323196,35523565,Photo,"@jharden13 added his 7th game of 50+ PTS Wednesday, the 3rd-most in a single season since 76-77!",March,Thursday,61113
756223,35523565,Video,@jharden13 puts up 57 in Memphis!,March,Thursday,24895
417525,35523565,Album,Swipe through to recap a busy night around the Association!,March,Thursday,19561
683063,35523565,Video,"Were all @meyersleonard11, @zachcollins_33! ????",March,Thursday,15149
612859,35523565,Video,@bosnianbeast27 crushes home the oop for the @trailblazers!,March,Thursday,11892
310709,35523565,Photo,@demar_derozan x @dwyanewade! #OneLastDance,March,Thursday,11466
677317,35523565,Video,Congrats @nicholascollison! #4MrThunder,March,Thursday,10952
677317,35523565,Video,@dwyanewade beats the buzzer from deep! #OneLastDance,March,Thursday,10452
671838,35523565,Video,@bennythebull shows off on his birthday!,March,Thursday,10355
612859,35523565,Video,The @sixers get the stop on D and @jimmybutler puts it away!,March,Thursday,6804
622898,35523565,Video,#4MrThunder... @nicholascollison watches his @okcthunder #4 go up to the rafters!,March,Thursday,5967
671838,35523565,Video,The @nyknicks rooks!,March,Thursday,5909
671838,35523565,Video,@lukadoncic with the effortless toss from the bench!,March,Thursday,5068
671838,35523565,Video,@spidadmitchell rocks the rim at MSG!,March,Thursday,516
575466,35501835,Video,#4MrThunder... the @okcthunder will raise @nicholascollisons #4 to the rafters tonight!,March,Wednesday,79815
620679,35501835,Video,"Ahead of tonights @raptors action in OKC (9:30pm/et ESPN), we showcase Kawhis best and-1 finishes!",March,Wednesday,79717
296583,35501835,Album,Tonights must-see @nbaonespn doubleheader tips off at 7:00pm/et!,March,Wednesday,73568
679690,35501835,Video,"The @Celtics execute on defense for the critical stop! #NBABreakdown ...
??: CELTICS/SIXERS
?: 7:00pm/et ??: ESPN",March,Wednesday,67562
384680,35501835,Album,Swipe through to recap Tuesdays six-game night!,March,Wednesday,18565
628859,35501835,Video,@chap takes it down the lane for the @brooklynnets win!,March,Wednesday,16625
773498,35501835,Video,@stephencurry30 weaves into the lane for the @warriors!,March,Wednesday,16017
689377,35501835,Video,@mb3five rises up for the PUTBACK!,March,Wednesday,16012
676738,35501835,Video,@stephencurry30 and @easymoneysniper connect from deeeep!,March,Wednesday,16008
689377,35501835,Video,@cp3 with the tricky dime in Atlanta!,March,Wednesday,16005
716394,35501835,Video,@stephencurry30 tosses it up to  @easymoneysniper from the opposite three! ??,March,Wednesday,8792
671850,35501835,Video,@cp3 handles in the lane!,March,Wednesday,8644
328919,35501835,Photo,@jharden13 becomes the first player in @nbahistory to score 30+ points against all 29 opponents in the same season!,March,Wednesday,7700
737009,35501835,Video,@jharden13 off the dribble!,March,Wednesday,737
565603,35476286,Video,"@landryshamet uses multiple screens to get the open @laclippers layup! #NBABreakdown
...
??: PACERS/CLIPPERS
?: 10:30pm/et
??: @nbatv",March,Tuesday,73037
580992,35476286,Video,@giannis_an34 or @kevinlove... who had your fave ASSIST of the week... #StateFarmAssists,March,Tuesday,60417
407215,35476286,Album,Dirks historic night in Dallas... moving up to 6th on the all-time scoring list!,March,Tuesday,20194
407215,35476286,Album,18 teams in action... nine winners Monday night!,March,Tuesday,19664
628870,35476286,Video,@damianlillard puts up 30 points & 15 assists to lead the @trailblazers at home!,March,Tuesday,19390
324201,35476286,Photo,@lukadoncic notches his 5th triple-double of the season for the @dallasmavs with 29p/13r/10a. #TripleDoubleAlert,March,Tuesday,11601
324201,35476286,Photo,FIVE consecutive triple-doubles for @elfrid... as he puts up 19p/11a/10r for the @pelicansnba! #TripleDoubleAlert,March,Tuesday,11347
729786,35476286,Video,The @pacers are out & running in Portland! (??: ESPN),March,Tuesday,11116
671862,35476286,Video,"Thats tough, @demar_derozan!!",March,Tuesday,9552
612882,35476286,Video,@lukadoncic gets into the lane for the @dallasmavs!,March,Tuesday,8020
818048,35476286,Video,@kyrieirving crosses into the jumper for the @celtics!,March,Tuesday,6450
671862,35476286,Video,With this bucket @swish41 moved up to 6th on the all-time SCORING list!,March,Tuesday,3572
324201,35476286,Photo,Congrats to @swish41 of the @dallasmavs for moving up to 6th on the NBAs ALL-TIME SCORING list! #MFFL,March,Tuesday,2877
785350,35476286,Video,@stephencurry30 from deeeeeep! (??: ESPN),March,Tuesday,2845
677342,35476286,Video,@therea1djones goes #AirplaneMode in OKC!,March,Tuesday,2120
665721,35476286,Video,@klaythompson and @money23green play the two-man game in San Antonio! (??: ESPN),March,Tuesday,2049
729786,35476286,Video,???? @isaiahthomas is welcomed back in Boston!,March,Tuesday,1602
341882,35454842,Album,?? the NBA STAT LEADERS through Week 22!,March,Monday,61208
309462,35454842,Photo,"Another one... @giannis_an34 is the 11th player to score at least 50 points in a game in the 2018-19 season, breaking the NBA single-season record of 10 (2016-17 & 2017-18)!",March,Monday,57697
317800,35454842,Album,"Rep the West. The new @beatsbydre #BeatsStudio3Wireless made for the @Lakers, @HoustonRockets and @Warriors are available now!",March,Monday,54073
303486,35454842,Album,"Rep the East. The new @beatsbydre #BeatsStudio3Wireless made for the @Celtics, @Sixers and @Raptors are available now!",March,Monday,54024
239347,35454842,Album,?? all the angles of @louwillvilles #TissotBuzzerBeater for the @laclippers win! #ThisIsYourTime,March,Monday,45184
719389,35454842,Video,@dloading breaks out an array of moves!,March,Monday,10722
781411,35454842,Video,@cp3 steps back for his 5th triple! (??: ESPN),March,Monday,9492
323845,35438921,Photo,A career-high 52 for @giannis_an34 in todays @bucks action!,March,Sunday,86336
323845,35438921,Photo,"@andredrummondd has now eclipsed 1,000 points, 1,000 rebounds, 100 blocks and 100 steals in the same season for the 4th time in his career, the most such seasons in @nbahistory (since steals and blocks were first recorded in the 1973-74 season).",March,Sunday,82809
606266,35438921,Video,@giannis_an34 (52p) and @joelembiid (40p/W) duel in Milwaukee!,March,Sunday,81297
606266,35438921,Video,@giannis_an34 & @bensimmons trade BIG SLAMS late!,March,Sunday,80517
721909,35438921,Video,@andredrummondd ?? ?? ??,March,Sunday,79103
705629,35438921,Video,Hard to guard! #NBAonABC,March,Sunday,76187
606266,35438921,Video,"@lukekennard5 tosses it, @thonmaker takes care of the rest!",March,Sunday,75460
643684,35438921,Video,@joelembiid off the dribble! #NBAonABC,March,Sunday,74095
664610,35438921,Video,The @nyknicks close on a 13-1 run for the home WIN!,March,Sunday,74049
643684,35438921,Video,@bensimmons throws down a pair of VICIOUS SLAMS early! #NBAonABC,March,Sunday,72111
587178,35438921,Video,Its GAMETIME between the @sixers and @bucks #NBAonABC... who ya got?,March,Sunday,71614
728568,35438921,Video,"A fundamental part of the game: Teamwork, respect, civility. It takes everybody  fans, players, coaches, referees  to come together to create an atmosphere that makes this the greatest game in the world.",March,Sunday,70125
606266,35438921,Video,@dwyanewade steps through for the @miamiheat bucket!,March,Sunday,68742
626781,35438921,Video,POWER to the rim! #PhantomCam,March,Sunday,64520
606266,35438921,Video,@kuz no-looks it to @javalemcgee at MSG!,March,Sunday,63066
275163,35438921,Photo,?? early NBA League Pass action at MSG!,March,Sunday,58885
898784,35438921,Video,@kyrieirving (30p/W) and @traeyoung (26p) duel in Boston!,March,Sunday,21078
401000,35438921,Album,Swipe through to recap Saturdays eight games!,March,Sunday,16316
401000,35438921,Album,Swipe through to recap Saturdays eight games!,March,Sunday,15060
656249,35438921,Video,@swish41 puts up 10 4th-quarter points for the @dallasmavs!,March,Sunday,12909
656249,35438921,Video,@paulmillsap4 wins it for the @nuggets!,March,Sunday,12732
788634,35438921,Video,Watch closely!,March,Sunday,9405
656249,35438921,Video,@jmglitxh27 keeps the pivot down for the @nuggets bucket!,March,Sunday,8047
719402,35438921,Video,@dwightpowell with the great catch on the oop!,March,Sunday,7985
348797,35438921,Photo,@elfrid secures his fourth straight triple-double for the @pelicansnba with 16p/16a/13r. #TripleDoubleAlert,March,Sunday,7337
656249,35438921,Video,@josh_j11 throws it down HARD for the @suns!,March,Sunday,6444
719402,35438921,Video,@bradbeal3s clutch layup gives him 40!,March,Sunday,6235
726462,35438921,Video,The @warriors move the ball to find @andre! #NBAonABC,March,Sunday,3179
406841,35438921,Photo,Congrats to @klaythompson of the @warriors for moving up to 17th on the all-time 3PM list!,March,Sunday,2783
683990,35413065,Video,@stephencurry30 & @ygtrece warm up the handles for tonights #NBAonABC action in OKC!,March,Sunday,608
658143,35413065,Video,"The @warriors get @stephencurry30 the open triple! #NBABreakdown
...
??: @warriors/@okcthunder ?: 8:30pm/et
??: #NBAonABC",March,Saturday,80771
352918,35413065,Photo,Tonights #NBAonABC Saturday Primetime features @warriors/@okcthunder!,March,Saturday,67444
345625,35413065,Album,?? the current NBA Standings!,March,Saturday,62848
318352,35413065,Photo,Join us in wishing @joelembiid of the @sixers a HAPPY 25th BIRTHDAY! #NBABDAY,March,Saturday,48748
318352,35413065,Photo,Join us in wishing @blakegriffin23 of the @detroitpistons a HAPPY 30TH BIRTHDAY! #NBABDAY,March,Saturday,43411
431824,35413065,Album,Swipe through to recap Fridays eight games!,March,Saturday,19560
673381,35413065,Video,@trezz24 with the @laclippers denial!!,March,Saturday,15611
737063,35413065,Video,"@jharden13 (41 points, 9 rebounds, 11 assists, 6 steals and 3 blocks) became the first player since steals and blocks were first tracked in 1973-74 to record 40+ points, 10+ assists, 5+ steals and 3+ blocks in a single game!",March,Saturday,10508
317195,35413065,Photo,@elfrid secures his 4th triple-double of the season for the @pelicansnba with 14p/16a/12r. #TripleDoubleAlert,March,Saturday,9078
671898,35413065,Video,@dbook recovers the dribble!,March,Saturday,6448
612915,35413065,Video,@giannis_an34 protects the paint for the @bucks!,March,Saturday,5982
612915,35413065,Video,@caldwellpope punches it home for the @lakers in Detroit!,March,Saturday,4431
736558,35413065,Video,The MANIMAL attacks!,March,Saturday,3080
671911,35393121,Video,@blakegriffin23 gets open with the dribble!,March,Friday,85820
671911,35393121,Video,@joelembiid with the FAKE & SLAM!,March,Friday,85261
283536,35393121,Album,?? the STAT LEADERS among #NBARooks!,March,Friday,56185
257677,35393121,Album,?? all the angles of Nikola Jokics #TissotBuzzerBeater for the @nuggets win! #ThisIsYourTime,March,Friday,47282
392714,35393121,Album,"12 teams, six winners Thursday night!",March,Friday,19579
394288,35393121,Photo,??#TissotBuzzerBeater #ThisIsYourTime,March,Friday,18413
755787,35393121,Video,,March,Friday,18205
689439,35393121,Video,@lukadoncic along the attack!,March,Friday,18161
729839,35393121,Video,?? @spidadmitchell ??,March,Friday,12147
888640,35393121,Video,?? the best of @kyrieirvings first triple-double of the season (31/12/10) for the @celtics!,March,Friday,8791
418355,35393121,Photo,@kyrieirving notches his second career triple-double with 31p/12a/10r for the @celtics! #TripleDoibleAlert,March,Friday,6746
336901,35393121,Photo,@russwest44 secures his 27th triple-double of the season for the @okcthunder with 19p/14r/11a. #TripleDoubleAlert,March,Friday,6284
612926,35393121,Video,@wessywes23 wins it for the @pacers with the follow!,March,Friday,6102
665769,35393121,Video,Kawhi beats the buzzer for the @raptors! (??: @nbaontnt),March,Friday,5114
307402,35393121,Photo,?? @willthethrillb5s ready for @nuggets @nbaontnt action! #NBAstyle,March,Friday,4342
612926,35393121,Video,@swipathefox crosses into the lane for the @sacramentokings!,March,Friday,4273
612926,35393121,Video,@coryjoseph tosses it from deep to beat the buzzer for the @pacers!,March,Friday,3925
819093,35393121,Video,@kingjames with the SLAM & no-look to @kuz! (??: @nbaontnt),March,Friday,3859
671911,35393121,Video,@jaytatum0 breaks out an array of moves!,March,Friday,3087
671911,35393121,Video,How did @ygtrece finish that!,March,Friday,3051
671923,35373310,Video,@hami.diallo with the pregame BOUNCE!,March,Thursday,84690
477797,35373310,Photo,Join us in wishing @stephencurry30 of the @warriors a HAPPY 31st BIRTHDAY! #NBABDAY,March,Thursday,41399
417113,35373310,Album,Swipe through to recap Wednesdays six games!,March,Thursday,17620
718851,35373310,Video,@boogiecousins puts up a season-high 27 for the @warriors in Houston!,March,Thursday,15296
612948,35353246,Video,@kellyoubrejr gets busy for the @suns!,March,Thursday,13007
612948,35353246,Video,@traeyoung & @jcollins20_ connect from DEEP!,March,Thursday,10822
785435,35353246,Video,"@stephencurry30 rolls it in, plus the foul! (??: ESPN)",March,Thursday,10776
671935,35353246,Video,?? @fearthefro95 ??,March,Thursday,10635
310361,35353246,Photo,@russwest44 notches his 26th triple-double of the season for the @okcthunder with 30p/12r/11a! #TripleDoubleAlert,March,Thursday,9721
689464,35353246,Video,@3jmccollum goes 8/9 for 23 4th quarter points!,March,Wednesday,18750
683162,35353246,Video,@paulmillsap4 tosses in the smooth buzzer-beater from beyond halfcourt! (??: @nbaontnt),March,Wednesday,17038
623190,35353246,Video,@karltowns steps back for the @timberwolves bucket! (??: @nbaontnt),March,Wednesday,15714
729866,35353246,Video,Passing is contagious! (??: @nbaontnt),March,Wednesday,12055
328598,35353246,Photo,@elfrid secures his 3rd triple-double of the season for the @pelicansnba with 14p/15r/11a. #TripleDoubleAlert,March,Wednesday,9056
800104,35353246,Video,? SHOWTIME in Chicago!,March,Wednesday,7780
671935,35353246,Video,@antdavis23 rolls for the LEFTY SLAM!,March,Wednesday,6586
397858,35353246,Photo,FLIGHT 23!,March,Wednesday,6411
984364,35353246,Video,@kingjames off the bounce??,March,Wednesday,5367
612300,35353246,Video,"@lukadoncic with the fake, @jalenbrunson1 with the triple! #NBARooks (??: @nbaontnt)",March,Wednesday,4479
671935,35353246,Video,"JJ, plus the foul, for the @sixers!",March,Wednesday,2854
607346,35353246,Video,@swish41 starts off 3/3 early for the @dallasmavs! (??: @nbaontnt),March,Wednesday,2178
612959,35346724,Video,@bensimmons spins in transition for the @sixers!,March,Tuesday,84597
282826,35338982,Album,The @laclippers @houstonrockets @cavs @okcthunder @brooklynnets & @washwizards each WIN on Monday!,March,Tuesday,18363
305377,35338982,Photo,Congrats to @louwillville of the @laclippers for scoring the most points off the bench in @nbahistory!,March,Tuesday,15897
911889,35338982,Video,@kyrieirving goes to work on the block! (??: @nbatv),March,Tuesday,15455
671959,35338982,Video,@spidadmitchell steps back!,March,Tuesday,11049
612982,35324214,Video,@cp3 dimes it to @ccapela15!,March,Tuesday,4675
665830,35324214,Video,@kevinlove ?? @cediosman!,March,Tuesday,4629
612982,35324214,Video,@marcgasol flings it perfectly to @pskills43!,March,Tuesday,668
570914,35324214,Video,@youngamechanger or @rajonrondo... who had your fave ASSIST of the week? #StateFarmAssists,March,Monday,79276
516582,35324214,Video,"Ahead of tonights @hornets action in Houston (8:00pm/et @nbatv), we showcase @_kw15s best finishes at the rim!",March,Monday,72489
210915,35324214,Photo,"Fresh off becoming the second player in @nbahistory to hit 300 threes in a season, @jharden13 & the @houstonrockets host the @hornets 8:00pm/et @nbatv!",March,Monday,67742
289547,35324214,Album,?? the NBA STAT LEADERS through Week 21s action!,March,Monday,56405
